Tienda,Periodo,Área,Prod,VtaNeta,JEq,ProdMeta,VtaNetaMeta,JEqMeta,CAPO,CAPE,ProdUnid
P221 Barranca - PVH,202605,MULTIFUNCIONAL,,2765227,,,2723405,,,,
P223 Cusco Mall - PVH,202605,MULTIFUNCIONAL,,10472385,,,9571674,,,,
P224 Brena - PVH,202605,MULTIFUNCIONAL,,6918616,,,6618121,,,,
P225 Cajamarca - PVH,202605,MULTIFUNCIONAL,,7498443,,,7281451,,,,
P226 Paita - PVH,202605,MULTIFUNCIONAL,,6180854,,,5431442,,,,
P227 San Isidro - PVH,202605,MULTIFUNCIONAL,,5349021,,,5784989,,,,
P229 Salaverry - PVH,202605,MULTIFUNCIONAL,,9548841,,,9215483,,,,
P231 Ventanilla - PVH,202605,MULTIFUNCIONAL,,7830758,,,7139504,,,,
P236 Pisco - PVH,202605,MULTIFUNCIONAL,,5224573,,,5106877,,,,
P238 Grifo Mexico - PVH,202605,MULTIFUNCIONAL,,3058430,,,1546371,,,,
P258 Chaclacayo - PVS,202605,ABARROTES,,885984,,,720132,,,,
P258 Chaclacayo - PVS,202605,ALMACÉN,,893567,,,907211,,,,
P258 Chaclacayo - PVS,202605,ALMACÉN FRESCOS,,300830,,,211689,,,,
P258 Chaclacayo - PVS,202605,ELECTRO,,7582,,,187079,,,,
P258 Chaclacayo - PVS,202605,FRESCOS,,300830,,,211689,,,,
P258 Chaclacayo - PVS,202605,RECEPCIÓN,,1194397,,,1118900,,,,
P259 Moquegua - PVH,202605,MULTIFUNCIONAL,,6477942,,,5917459,,,,
P261 El Agustino - PVH,202605,MULTIFUNCIONAL,,1859362,,,1912427,,,,
P261 El Agustino - PVH,202605,RECEPCIÓN,,1859362,,2189560.5917202565,1912427,0.8734295999077502,1.0,,
P262 Talara Municipalidad - PVH,202605,MULTIFUNCIONAL,,5266345,,,5014376,,,,
P264 E-Commerce Non Food,202605,,,3176030,,0,3789598,,,,
P264 E-Commerce Non Food,202605,ABARROTES,,758225,,0,530191,,,,
P264 E-Commerce Non Food,202605,ALMACÉN,,3176030,,0,3789598,,,,
P264 E-Commerce Non Food,202605,ALMACÉN FRESCOS,,,,0,,,,,
P264 E-Commerce Non Food,202605,CAJAS,,421926,,0,530191,,,,
P264 E-Commerce Non Food,202605,ELECTRO,,2417804,,0,3259407,,,,
P264 E-Commerce Non Food,202605,FRESCOS,,,,0,,,,,
P264 E-Commerce Non Food,202605,INVENTARIOS,,3176030,,0,3789598,,,,
P264 E-Commerce Non Food,202605,MULTIFUNCIONAL,,3176030,,0,3789598,,,,
P264 E-Commerce Non Food,202605,RECEPCIÓN,,3176030,,0,3789598,,,,
P264 E-Commerce Non Food,202605,SIN ELECTRO,,758225,,0,530191,,,,
P291 La Curva - PVH,202605,MULTIFUNCIONAL,,7976887,,,7728624,,,,
P333 Ves Placita - PVH,202605,MULTIFUNCIONAL,,7311160,,,6784832,,,,
P422 Art Express - PVS,202605,ABARROTES,,205351,,,176477,,,,
P422 Art Express - PVS,202605,ALMACÉN,,205581,,,222324,,,,
P422 Art Express - PVS,202605,ALMACÉN FRESCOS,,81642,,,51877,,,,
P422 Art Express - PVS,202605,CAJAS,,287223,,,274201,,,,
P422 Art Express - PVS,202605,ELECTRO,,230,,,45846,,,,
P422 Art Express - PVS,202605,FRESCOS,,81642,,,51877,,,,
P422 Art Express - PVS,202605,RECEPCIÓN,,287223,,,274201,,,,
P465 Sucre - PVH,202605,MULTIFUNCIONAL,,9604383,,,9189569,,,,
P516 Ilo - PVH,202605,MULTIFUNCIONAL,,5577898,,,5170473,,,,
P723 Puruchuco - PVH,202605,MULTIFUNCIONAL,,8817453,,,8386135,,,,
P724 Tumbes - PVH,202605,MULTIFUNCIONAL,,7158375,,,7471549,,,,
P769 Chiclayo Aventura - PVH,202605,MULTIFUNCIONAL,,6409687,,,5365252,,,,
SO02 Pucallpa - PVO,202605,MULTIFUNCIONAL,,10155315,,,9175981,,,,
SO03 Huanuco - PVO,202605,MULTIFUNCIONAL,,8978962,,,8348865,,,,
SO04 Jaen - PVO,202605,MULTIFUNCIONAL,,7853312,,,7307446,,,,
SO05 Tarapoto - PVO,202605,MULTIFUNCIONAL,,7739444,,,7412602,,,,
SO06 Tarapoto 2 - PVO,202605,MULTIFUNCIONAL,,6439571,,,6786297,,,,
V019 Pardo - VIV,202605,,,,33.62794354838719,,3188376,,,,
V019 Pardo - VIV,202605,ABARROTES,,,3.2026881720430116,,1693073,,,,
V019 Pardo - VIV,202605,ALMACÉN,,,1.4066330645161298,,1694433,,,,
V019 Pardo - VIV,202605,ALMACÉN FRESCOS,,,4.991404569892474,,1493943,,,,
V019 Pardo - VIV,202605,CAJAS,,,12.805907258064547,,3188376,,,,
V019 Pardo - VIV,202605,ELECTRO,,,,,1360,,,,
V019 Pardo - VIV,202605,FRESCOS,,,10.624240591397857,,1493943,,,,
V019 Pardo - VIV,202605,INVENTARIOS,,,,,1694433,,,,
V019 Pardo - VIV,202605,MULTIFUNCIONAL,,,,,3188376,,,,
V019 Pardo - VIV,202605,RECEPCIÓN,,,0.5970698924731185,,3188376,,,,
V019 Pardo - VIV,202605,SIN ELECTRO,,,33.62794354838719,,3187016,,,,
V090 Pezet - VIV,202605,ELECTRO,,729,,,1561,,,,
V090 Pezet - VIV,202605,MULTIFUNCIONAL,,3700208,,,3658508,,,,
V093 Dos de Mayo - VIV,202605,ELECTRO,,555,,,1171,,,,
V093 Dos de Mayo - VIV,202605,MULTIFUNCIONAL,,2755055,,,2746292,,,,
V094 Benavides - VIV,202605,ELECTRO,,869,,,1405,,,,
V094 Benavides - VIV,202605,MULTIFUNCIONAL,,3394155,,,3294783,,,,
V095 Monterrico - VIV,202605,ALMACÉN FRESCOS,,2666760,,,2713343,,,,
V095 Monterrico - VIV,202605,ELECTRO,,397,,,2470,,,,
V095 Monterrico - VIV,202605,MULTIFUNCIONAL,,5703629,,,5793381,,,,
V116 Javier Prado - VIV,202605,ELECTRO,,199,,,1456,,,,
V116 Javier Prado - VIV,202605,MULTIFUNCIONAL,,2977140,,,3412716,,,,
V140 Libertadores - VIV,202605,ELECTRO,,980,,,1243,,,,
V140 Libertadores - VIV,202605,MULTIFUNCIONAL,,2773098,,,2924537,,,,
V254 Destinos del Sabor - VIV,202605,,,153,,0,2033,,,,
V254 Destinos del Sabor - VIV,202605,ABARROTES,,78,,0,1122,,,,
V254 Destinos del Sabor - VIV,202605,ALMACÉN,,78,,0,1379,,,,
V254 Destinos del Sabor - VIV,202605,ALMACÉN FRESCOS,,76,,0,654,,,,
V254 Destinos del Sabor - VIV,202605,CAJAS,,153,,0,2033,,,,
V254 Destinos del Sabor - VIV,202605,ELECTRO,,,,0,257,,,,
V254 Destinos del Sabor - VIV,202605,FRESCOS,,76,,0,654,,,,
V254 Destinos del Sabor - VIV,202605,INVENTARIOS,,78,,0,1379,,,,
V254 Destinos del Sabor - VIV,202605,MULTIFUNCIONAL,,153,,0,2033,,,,
V254 Destinos del Sabor - VIV,202605,RECEPCIÓN,,153,,0,2033,,,,
V254 Destinos del Sabor - VIV,202605,SIN ELECTRO,,153,,0,1776,,,,
V290 Asia - VIV,202605,ALMACÉN,,528004,,109553.53709677422,339616,3.1,1.0,,
V290 Asia - VIV,202605,ELECTRO,,3570,,,272,,,,
V290 Asia - VIV,202605,MULTIFUNCIONAL,,781833,,,638917,,,,
V290 Asia - VIV,202605,RECEPCIÓN,,781833,,,638917,,,,
X209 Bolognesi - PVE,202605,ABARROTES,,380836,,,336691,,,,
X209 Bolognesi - PVE,202605,ALMACÉN,,380836,,,424158,,,,
X209 Bolognesi - PVE,202605,ALMACÉN FRESCOS,,152072,,,98973,,,,
X209 Bolognesi - PVE,202605,CAJAS,,532908,,,523131,,,,
X209 Bolognesi - PVE,202605,ELECTRO,,,,,87467,,,,
X209 Bolognesi - PVE,202605,FRESCOS,,152072,,,98973,,,,
X209 Bolognesi - PVE,202605,RECEPCIÓN,,532908,,,523131,,,,
X210 Santa Cruz - PVE,202605,ABARROTES,,224292,,,218874,,,,
X210 Santa Cruz - PVE,202605,ALMACÉN,,224515,,,275734,,,,
X210 Santa Cruz - PVE,202605,ALMACÉN FRESCOS,,130155,,,64340,,,,
X210 Santa Cruz - PVE,202605,CAJAS,,354670,,,340074,,,,
X210 Santa Cruz - PVE,202605,ELECTRO,,223,,,56860,,,,
X210 Santa Cruz - PVE,202605,FRESCOS,,130155,,,64340,,,,
X210 Santa Cruz - PVE,202605,INVENTARIOS,,224515,,,275734,,,,
X210 Santa Cruz - PVE,202605,RECEPCIÓN,,354670,,,340074,,,,
Z001 Back Office Plaza Vea,202605,,,,,0,,,,,
Z001 Back Office Plaza Vea,202605,ABARROTES,,,,0,,,,,
Z001 Back Office Plaza Vea,202605,ALMACÉN,,,,0,,,,,
Z001 Back Office Plaza Vea,202605,ALMACÉN FRESCOS,,,,0,,,,,
Z001 Back Office Plaza Vea,202605,CAJAS,,,,0,,,,,
